Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),RxBt(V),Curr(A),Capa(mAh),Bat%(%),Rud,Ele,Thr,Ail,P1,P2,P3,SL1,SL2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-08-08,13:27:14.200,2.9,0.0,-43,-45,100,11,1,8,10,-36,100,11,12.1,0.0,0,0,138,5,-724,-8,8,-1024,-3,-545,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1548,1415,1530,1518,2012,1533,1519,1260,1701,1113,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:14.700,2.8,-0.1,-43,-47,100,10,1,8,10,-34,100,11,12.1,0.0,0,0,88,5,-1024,-8,8,-1024,-3,-521,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1535,1424,1530,1518,2012,1533,1519,1260,1701,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:15.200,2.9,0.0,-36,-49,100,10,0,8,10,-31,100,10,12.1,0.0,0,0,8,5,-27,-7,8,-1024,-3,-520,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1392,1530,1518,2012,1533,1520,1260,1701,1461,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:15.700,2.9,0.0,-35,-49,100,11,0,8,10,-31,100,11,12.0,0.0,0,0,8,5,646,-7,8,-1024,-3,-521,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1369,1530,1518,2012,1533,1519,1260,1701,1805,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:16.200,2.9,-0.1,-34,-49,100,11,0,8,10,-28,100,11,12.0,0.0,0,0,7,5,814,-7,8,-1024,-3,-521,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1364,1530,1518,2012,1533,1520,1260,1701,1881,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:16.700,3.4,1.4,-37,-49,100,11,0,8,10,-32,100,11,11.9,0.0,0,0,6,6,815,-8,8,-1024,-3,-498,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1364,1530,1518,2012,1533,1519,1260,1701,1882,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:17.200,3.2,-0.4,-49,-56,100,11,0,8,10,-40,100,10,11.9,0.0,0,0,6,5,815,-7,8,-1024,-3,-504,-659,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1364,1530,1518,2012,1533,1520,1260,1701,1882,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:17.700,4.0,1.0,-49,-56,100,11,0,8,10,-47,100,11,11.9,0.0,0,0,6,4,815,-6,8,-1024,-3,-513,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1365,1530,1518,2012,1534,1520,1260,1701,1882,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:18.200,5.1,1.7,-50,-56,100,10,0,8,10,-46,100,11,11.9,0.0,0,0,6,3,815,-8,8,-1024,-3,-512,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1365,1530,1518,2012,1533,1519,1260,1701,1882,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2026-08-08,13:27:18.700,5.5,0.6,-53,-56,100,10,0,8,10,-55,100,10,11.8,0.0,0,0,6,-100,815,188,8,-1024,-3,-562,-660,-1,0,-1,-1,-1,1,0,-1,0x0000000000000000,1514,1391,1582,1550,2012,1592,1554,1260,1701,1882,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
